chlorophyll_RFU,depth_m,doSaturation_percent,ODO...local,doConcentration_mgpL,orp_mV,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,TSS.mg.L,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,depthDiff_m,verticalPositionDiff_m
0.18,0.005,102.7,102.7,8.41,80.2,0.11,232.9,0.06,151,NA,0,8.29,25.473,0.008,NA,NA,NA,2019-06-19,2019-06-19T09:56:20Z,112A,4.7632008709853023e-4,977.6,0.02,0.038
0.2,0.274,102.7,102.7,8.41,80.6,0.11,232.8,0.06,151,NA,0,8.29,25.478,0.283,NA,NA,NA,2019-06-19,2019-06-19T09:56:34Z,112A,0.026401741970604246,977.6,0.03899999999999998,0.08400000000000002
0.21,0.313,102.8,102.8,8.41,80.6,0.11,232.8,0.06,151,NA,0,8.29,25.476,0.367,NA,NA,NA,2019-06-19,2019-06-19T09:56:35Z,112A,0.03021230266739249,977.6,0.10899999999999999,0.062
0.19,0.422,102.7,102.7,8.41,80.7,0.11,232.8,0.1,151,NA,0,8.29,25.471,0.429,NA,NA,NA,2019-06-19,2019-06-19T09:56:36Z,112A,0.04075939031028851,977.6,0.046999999999999986,0.05499999999999999
0.2,0.469,102.8,102.8,8.41,80.7,0.11,232.8,0.12,151,NA,0,8.29,25.466,0.484,NA,NA,NA,2019-06-19,2019-06-19T09:56:37Z,112A,0.045250408274360374,977.6,0.039000000000000035,0.031000000000000028
0.21,0.505,102.9,102.9,8.43,80.9,0.11,232.9,0.08,151,NA,0,8.29,25.464,0.517,NA,NA,NA,2019-06-19,2019-06-19T09:56:41Z,112A,0.048720740337506806,977.4666666666667,0.05999999999999994,0.06799999999999995
0.22,0.593,102.9,102.9,8.43,80.9,0.11,232.9,0.06,151,NA,0,8.29,25.459,0.591,NA,NA,NA,2019-06-19,2019-06-19T09:56:43Z,112A,0.05722645617855199,977.4666666666667,0.008000000000000007,0.049000000000000044
0.26,0.601,102.9,102.9,8.43,81,0.11,232.8,0.07,151,NA,0,8.29,25.457,0.64,NA,NA,NA,2019-06-19,2019-06-19T09:56:44Z,112A,0.05804300489929232,977.4666666666667,0.11499999999999999,0.138
0.26,0.716,102.9,102.9,8.43,81.2,0.11,232.7,0.07,151,NA,0,8.29,25.449,0.778,NA,NA,NA,2019-06-19,2019-06-19T09:56:45Z,112A,0.06906641262928688,977.4666666666667,0.12,0.05499999999999994
0.25,0.836,102.9,102.9,8.43,81.3,0.11,232.8,0.09,151,NA,0,8.28,25.437,0.833,NA,NA,NA,2019-06-19,2019-06-19T09:56:46Z,112A,0.08063418617310833,977.4666666666667,0.01200000000000001,0.03600000000000003
0.22,0.848,102.9,102.9,8.43,81.4,0.11,232.9,0.12,151,NA,0,8.29,25.435,0.869,NA,NA,NA,2019-06-19,2019-06-19T09:56:47Z,112A,0.08185900925421884,977.3333333333334,0.04800000000000004,0.061000000000000054
0.21,0.896,102.9,102.9,8.43,81.4,0.11,232.8,0.1,151,NA,0,8.29,25.433,0.93,NA,NA,NA,2019-06-19,2019-06-19T09:56:48Z,112A,0.08641807294501906,977.4666666666667,0.07199999999999995,0.03799999999999992
0.23,0.968,103,103,8.44,81.4,0.11,232.8,0.07,151,NA,0,8.29,25.428,0.968,NA,NA,NA,2019-06-19,2019-06-19T09:56:49Z,112A,0.09335873707131193,977.3333333333334,0.02300000000000002,0.05499999999999994
0.25,0.991,103,103,8.44,81.5,0.11,232.8,0.1,151,NA,0,8.29,25.426,1.023,NA,NA,NA,2019-06-19,2019-06-19T09:56:50Z,112A,0.0956722917800762,977.4666666666667,0.06900000000000006,0.09100000000000019
0.23,1.06,103,103,8.44,81.5,0.11,232.9,0.09,151,NA,0,8.29,25.419,1.114,NA,NA,NA,2019-06-19,2019-06-19T09:56:51Z,112A,0.10227272727272727,977.4666666666667,0.10499999999999998,0.06699999999999995
0.19,1.165,103,103,8.44,81.6,0.11,232.9,0.12,151,NA,0,8.29,25.406,1.181,NA,NA,NA,2019-06-19,2019-06-19T09:56:52Z,112A,0.11241154055525313,977.6,0.097999999999999865,0.11099999999999999
0.22,1.263,103,103,8.45,81.8,0.11,233,0.11,151,NA,0,8.28,25.392,1.292,NA,NA,NA,2019-06-19,2019-06-19T09:56:53Z,112A,0.12186989657049536,977.6,0.07200000000000006,0.07600000000000007
0.23,1.335,103.1,103.1,8.45,81.8,0.11,233,0.11,151,NA,0,8.28,25.385,1.368,NA,NA,NA,2019-06-19,2019-06-19T09:56:54Z,112A,0.12881056069678826,977.4666666666667,0.05800000000000005,0.041999999999999815
0.22,1.393,103,103,8.45,81.8,0.11,233,0.11,151,NA,0,8.29,25.379,1.41,NA,NA,NA,2019-06-19,2019-06-19T09:56:55Z,112A,0.13445835601524225,977.6,0.04699999999999993,0.04100000000000015
0.2,1.44,103,103,8.45,81.9,0.11,233.1,0.09,152,NA,0,8.29,25.36,1.451,NA,NA,NA,2019-06-19,2019-06-19T09:56:56Z,112A,0.1389493739793141,977.4666666666667,0.03300000000000014,0.03299999999999992
0.24,1.534,103.2,103.2,8.47,81.8,0.11,233.2,0.1,152,NA,0,8.29,25.332,1.533,NA,NA,NA,2019-06-19,2019-06-19T09:56:59Z,112A,0.14806750136091454,977.6,0.010999999999999899,0.030000000000000027
0.24,1.545,103.2,103.2,8.47,81.8,0.11,233.1,0.11,151,NA,0,8.29,25.327,1.563,NA,NA,NA,2019-06-19,2019-06-19T09:57:00Z,112A,0.14908818726183995,977.4666666666667,0.04600000000000004,0.05500000000000016
0.22,1.591,103.2,103.2,8.47,81.8,0.11,233.2,0.09,152,NA,0,8.29,25.31,1.618,NA,NA,NA,2019-06-19,2019-06-19T09:57:01Z,112A,0.15351115949918345,977.4666666666667,0.09899999999999998,0.09499999999999997
0.22,1.69,103.2,103.2,8.47,81.9,0.11,233.4,0.09,152,NA,0,8.29,25.293,1.713,NA,NA,NA,2019-06-19,2019-06-19T09:57:02Z,112A,0.1631056069678824,977.4666666666667,0.052000000000000046,0.041999999999999815
0.24,1.742,103.1,103.1,8.47,82,0.11,233.6,0.08,152,NA,0,8.29,25.281,1.755,NA,NA,NA,2019-06-19,2019-06-19T09:57:03Z,112A,0.16814099074578118,977.4666666666667,0.03299999999999992,0.03100000000000014
0.3,1.807,103.1,103.1,8.47,81.9,0.11,233.4,0.1,152,NA,0,8.28,25.275,1.815,NA,NA,NA,2019-06-19,2019-06-19T09:57:05Z,112A,0.17433315187806206,977.4666666666667,0.037000000000000144,0.051000000000000156
0.28,1.844,103.1,103.1,8.47,82,0.11,233.4,0.14,152,NA,0,8.28,25.278,1.866,NA,NA,NA,2019-06-19,2019-06-19T09:57:06Z,112A,0.17793957539466523,977.4666666666667,0.053999999999999826,0.05599999999999983
0.26,1.898,103,103,8.46,82,0.11,233.5,0.13,152,NA,0,8.28,25.275,1.922,NA,NA,NA,2019-06-19,2019-06-19T09:57:07Z,112A,0.18311105062602068,977.4666666666667,0.06400000000000006,0.06600000000000006
0.27,1.962,102.8,102.8,8.45,82,0.11,233.7,0.06,152,NA,0,8.28,25.258,1.988,NA,NA,NA,2019-06-19,2019-06-19T09:57:08Z,112A,0.1893032117583016,977.4666666666667,0.05700000000000016,0.03799999999999981
0.26,2.019,102.8,102.8,8.46,82.1,0.11,233.8,0.06,152,NA,0,8.28,25.243,2.026,NA,NA,NA,2019-06-19,2019-06-19T09:57:09Z,112A,0.19481491562329886,977.6,0.040000000000000036,0.06500000000000039
0.28,2.059,102.9,102.9,8.46,82.1,0.11,234,0.09,152,NA,0,8.28,25.231,2.091,NA,NA,NA,2019-06-19,2019-06-19T09:57:10Z,112A,0.1986254763200871,977.4666666666667,0.06299999999999972,0.03399999999999981
0.29,2.172,102.6,102.6,8.45,82.4,0.11,234.2,0.13,152,NA,0,8.28,25.15,2.183,NA,NA,NA,2019-06-19,2019-06-19T09:57:14Z,112A,0.2095808383233533,977.4666666666667,0.0389999999999997,0.07500000000000018
0.28,2.211,102.5,102.5,8.44,82.5,0.11,234.3,0.09,152,NA,0,8.27,25.139,2.258,NA,NA,NA,2019-06-19,2019-06-19T09:57:15Z,112A,0.21339139902014154,977.3333333333334,0.12700000000000022,0.09200000000000008
0.27,2.366,102.4,102.4,8.46,82.7,0.11,235,0.1,153,NA,0,8.27,24.991,2.35,NA,NA,NA,2019-06-19,2019-06-19T09:57:18Z,112A,0.22836145890038106,977.4666666666667,0,0.04400000000000004
0.28,2.366,102.5,102.5,8.46,82.7,0.11,234.8,0.09,153,NA,0,8.27,25.003,2.394,NA,NA,NA,2019-06-19,2019-06-19T09:57:19Z,112A,0.22836145890038106,977.6,0.07699999999999996,0.06499999999999995
0.28,2.443,102.4,102.4,8.46,82.8,0.11,234.7,0.1,153,NA,0,8.27,24.982,2.459,NA,NA,NA,2019-06-19,2019-06-19T09:57:20Z,112A,0.2357103973870441,977.4666666666667,0.052000000000000046,0.04800000000000004
0.31,2.562,103.7,103.7,8.58,82.7,0.11,234.8,0.12,153,NA,0,8.3,24.906,2.578,NA,NA,NA,2019-06-19,2019-06-19T09:57:24Z,112A,0.24727817093086554,977.4666666666667,0.06700000000000017,0.11800000000000033
0.32,2.629,103.7,103.7,8.58,82.8,0.11,234.6,0.11,152,NA,0,8.3,24.867,2.696,NA,NA,NA,2019-06-19,2019-06-19T09:57:25Z,112A,0.2537425149700599,977.6,0.14000000000000012,0.10299999999999976
0.32,2.769,103.6,103.6,8.59,82.8,0.11,234.3,0.14,152,NA,0,8.3,24.756,2.799,NA,NA,NA,2019-06-19,2019-06-19T09:57:26Z,112A,0.26721556886227543,977.6,0.07200000000000006,0.038000000000000256
0.26,2.844,104.4,104.4,8.68,82.8,0.11,234,0.12,152,NA,0,8.31,24.672,2.845,NA,NA,NA,2019-06-19,2019-06-19T09:57:28Z,112A,0.27449646162221014,977.6,0.02200000000000024,0.042999999999999705
0.27,2.866,104.7,104.7,8.69,82.8,0.11,233.7,0.11,152,NA,0,8.31,24.716,2.888,NA,NA,NA,2019-06-19,2019-06-19T09:57:29Z,112A,0.27653783342406096,977.4666666666667,0.04899999999999993,0.03600000000000003
0.28,2.915,105,105,8.71,82.8,0.11,233.6,0.05,152,NA,0,8.31,24.719,2.924,NA,NA,NA,2019-06-19,2019-06-19T09:57:30Z,112A,0.28136908002177463,977.4666666666667,0.03500000000000014,0.04800000000000004
0.27,2.95,104.9,104.9,8.71,82.8,0.11,233.9,0.09,152,NA,0,8.32,24.667,2.972,NA,NA,NA,2019-06-19,2019-06-19T09:57:31Z,112A,0.28470332063146436,977.3333333333334,0.06999999999999984,0.07200000000000006
0.31,3.086,105.1,105.1,8.76,83,0.11,233.3,0.07,152,NA,0,8.32,24.55,3.084,NA,NA,NA,2019-06-19,2019-06-19T09:57:35Z,112A,0.2977681001633098,977.4666666666667,0.01200000000000001,0.04899999999999993
0.27,3.098,105,105,8.74,83,0.11,233.1,0.12,152,NA,0,8.32,24.577,3.133,NA,NA,NA,2019-06-19,2019-06-19T09:57:36Z,112A,0.2989929232444203,977.3333333333334,0.07299999999999995,0.04999999999999982
0.37,3.21,105.2,105.2,8.78,83.1,0.11,233.9,0.13,152,NA,0,8.32,24.417,3.213,NA,NA,NA,2019-06-19,2019-06-19T09:57:40Z,112A,0.30981219379422975,977.4666666666667,0.02300000000000013,0.040000000000000036
0.37,3.359,105.1,105.1,8.79,83.3,0.11,234.1,0.15,152,NA,0,8.32,24.242,3.365,NA,NA,NA,2019-06-19,2019-06-19T09:57:47Z,112A,0.32423788786064234,977.3333333333334,0.039000000000000146,0.04499999999999993
0.3,3.427,104.7,104.7,8.8,83.4,0.11,234.2,0.08,152,NA,0,8.33,24.083,3.436,NA,NA,NA,2019-06-19,2019-06-19T09:57:49Z,112A,0.330770277626565,977.4666666666667,0.028999999999999915,0.03000000000000025
0.28,3.567,103.4,103.4,8.71,83.9,0.11,234.5,0.12,152,NA,0,8.31,23.92,3.578,NA,NA,NA,2019-06-19,2019-06-19T09:58:03Z,112A,0.344311377245509,977.4666666666667,0.03200000000000003,0.04200000000000026
0.41,3.638,103.2,103.2,8.7,84,0.11,234,0.09,152,NA,0,8.31,23.85,3.64,NA,NA,NA,2019-06-19,2019-06-19T09:58:05Z,112A,0.35118399564507347,977.4666666666667,0.018000000000000238,0.030999999999999694
0.35,3.656,103.1,103.1,8.7,84,0.11,233.7,0.11,152,NA,0,8.31,23.85,3.671,NA,NA,NA,2019-06-19,2019-06-19T09:58:06Z,112A,0.35288513881328254,977.4666666666667,0.03399999999999981,0.039000000000000146
0.34,3.69,103,103,8.69,84,0.11,233.5,0.08,152,NA,0,8.31,23.85,3.71,NA,NA,NA,2019-06-19,2019-06-19T09:58:07Z,112A,0.35615133369624385,977.4666666666667,0.05400000000000027,0.04899999999999993
0.36,3.744,102.9,102.9,8.68,84.1,0.11,233.2,0.06,152,NA,0,8.31,23.84,3.759,NA,NA,NA,2019-06-19,2019-06-19T09:58:08Z,112A,0.3613908546543277,977.6,0.04899999999999993,0.052999999999999936
0.37,3.793,102.7,102.7,8.67,84.2,0.11,233.4,0.11,152,NA,0,8.31,23.804,3.812,NA,NA,NA,2019-06-19,2019-06-19T09:58:09Z,112A,0.36615405552531305,977.6,0.04400000000000004,0.037000000000000366
0.39,3.889,102.7,102.7,8.68,84.3,0.11,234,0.16,152,NA,0,8.31,23.686,3.893,NA,NA,NA,2019-06-19,2019-06-19T09:58:12Z,112A,0.3754763200870985,977.4666666666667,0.03400000000000025,0.04600000000000026
0.41,4,102.8,102.8,8.7,84.4,0.11,233.9,0.13,152,NA,0,8.31,23.697,4.009,NA,NA,NA,2019-06-19,2019-06-19T09:58:16Z,112A,0.38609145345672297,977.4666666666667,0.051000000000000156,0.06099999999999994
0.41,4.051,102.4,102.4,8.66,84.5,0.11,233.8,0.12,152,NA,0,8.31,23.683,4.07,NA,NA,NA,2019-06-19,2019-06-19T09:58:17Z,112A,0.3910587915078933,977.4666666666667,0.04099999999999948,0.03200000000000003
0.46,4.141,102.1,102.1,8.66,84.6,0.11,234,0.1,152,NA,0,8.31,23.6,4.145,NA,NA,NA,2019-06-19,2019-06-19T09:58:20Z,112A,0.3997686445291236,977.4666666666667,0.028999999999999915,0.040000000000000036
0.44,4.17,102.2,102.2,8.67,84.7,0.11,234,0.16,152,NA,0,8.31,23.527,4.185,NA,NA,NA,2019-06-19,2019-06-19T09:58:21Z,112A,0.40255851932498643,977.4666666666667,0.04400000000000048,0.04900000000000038
0.48,4.322,101.7,101.7,8.75,84.9,0.11,234.7,0.09,153,NA,0,8.32,22.766,4.322,NA,NA,NA,2019-06-19,2019-06-19T09:58:28Z,112A,0.41725639629831246,977.4666666666667,0.017000000000000348,0.04100000000000037
0.48,4.367,102.5,102.5,8.85,85,0.11,234.4,0.13,152,NA,0,8.32,22.644,4.384,NA,NA,NA,2019-06-19,2019-06-19T09:58:30Z,112A,0.42167936853565596,977.3333333333334,0.04999999999999982,0.054999999999999716
